stu_id,course_id,score
10000,1000,74
10000,1001,21
10000,1002,97
10000,1003,-94
10000,1004,6
10000,1006,15
10000,1008,56
10000,1011,60
10000,1014,-91
10001,1000,-91
10001,1001,26
10001,1003,36
10001,1004,56
10001,1007,-100
10001,1008,-39
10001,1010,14
10001,1012,28
10001,1014,-60
10002,1000,17
10002,1001,-96
10002,1002,81
10002,1003,-89
10002,1004,-93
10002,1006,49
10002,1007,36
10002,1008,30
10002,1011,-83
10002,1014,47
10003,1000,67
10003,1001,-57
10003,1003,-49
10003,1006,48
10003,1007,28
10003,1008,-69
10003,1009,43
10003,1010,58
10003,1011,-50
10003,1012,58
10004,1000,59
10004,1001,32
10004,1003,50
10004,1006,-3
10004,1010,-82
10004,1011,64
10004,1013,-95
10005,1001,-12
10005,1002,78
10005,1003,-49
10005,1004,69
10005,1005,-12
10005,1008,8
10005,1012,-63
10005,1014,44
10006,1001,52
10006,1002,64
10006,1003,-20
10006,1004,-72
10006,1006,-43
10006,1007,51
10006,1008,89
10006,1009,11
10006,1010,62
10006,1011,-27
10006,1012,-99
10006,1014,-43
10007,1002,1
10007,1003,-41
10007,1004,-11
10007,1005,62
10007,1006,36
10007,1007,-66
10007,1008,-91
10007,1009,10
10007,1011,63
10007,1014,58
10008,1001,-18
10008,1002,48
10008,1003,4
10008,1004,6
10008,1006,-55
10008,1007,19
10008,1008,27
10008,1009,-76
10008,1014,-84
10009,1000,-51
10009,1001,100
10009,1002,55
10009,1003,-18
10009,1006,-12
10009,1009,-51
10009,1010,-49
10009,1011,25
10009,1013,-12
10009,1014,-80
10010,1001,63
10010,1002,-88
10010,1004,44
10010,1005,31
10010,1006,-80
10010,1008,-30
10010,1010,-60
10010,1011,-97
10010,1014,36
10011,1001,75
10011,1002,-97
10011,1004,-34
10011,1005,44
10011,1006,83
10011,1007,76
10011,1008,1
10011,1010,33
10011,1012,96
10011,1013,-63
10012,1000,22
10012,1001,-76
10012,1002,-22
10012,1004,-59
10012,1005,-67
10012,1006,99
10012,1008,6
10012,1013,50
10012,1014,-47
10013,1000,5
10013,1001,69
10013,1002,-84
10013,1003,90
10013,1004,-75
10013,1008,-59
10013,1011,-89
10014,1002,17
10014,1003,-49
10014,1004,-26
10014,1006,4
10014,1007,-39
10014,1010,51
10014,1011,-91
10014,1012,-22
10015,1000,14
10015,1002,56
10015,1003,63
10015,1005,-52
10015,1007,85
10015,1008,-96
10015,1009,-17
10015,1010,46
10015,1014,47
10016,1000,-42
10016,1001,87
10016,1003,41
10016,1004,-98
10016,1007,-11
10016,1008,59
10016,1009,-57
10016,1010,39
10016,1012,86
10016,1013,23
10016,1014,31
10017,1000,64
10017,1001,97
10017,1003,90
10017,1004,-2
10017,1005,41
10017,1007,-74
10017,1008,64
10017,1009,-76
10017,1011,54
10017,1014,-16
10018,1000,51
10018,1001,-50
10018,1002,-12
10018,1003,-3
10018,1006,12
10018,1007,41
10018,1008,23
10018,1009,-3
10018,1011,-84
10018,1012,-60
10018,1013,-16
10018,1014,-9
10019,1001,46
10019,1002,-15
10019,1004,92
10019,1009,63
10019,1011,-17
10019,1013,26
10019,1014,75
10020,1000,-54
10020,1001,-73
10020,1003,60
